date,team,opponent,goals_for,goals_against,goal_diff,result,tournament,neutral,outcome,days_since_last_match,rolling_goal_diff_5,win,rolling_win_rate_5,ewa_win_rate,ewa_goal_diff,tournament_weight,team_elo,opponent_elo,elo_diff,opp_elo_strength_5,win_vs_strong,rolling_win_vs_strong_5,rolling_goal_diff_std_5,rolling_win_rate_std_5,ewa_win_rate_momentum,ewa_goal_diff_momentum
2008-10-15,Albania,Portugal,0,0,0,0,World Cup qualifier,False,1,,0.4,0,0.4,0.3696682464454977,0.1516587677725118,4.0,1506.0,1827.0,-321.0,,0.0,0.4,,,,
2008-11-19,Albania,Azerbaijan,1,1,0,0,Friendly,False,1,35.0,0.6,0,0.4,0.23458646616541362,0.09624060150375939,1.0,1506.0,1366.0,140.0,,,0.4,,,,
2009-02-11,Albania,Malta,0,0,0,0,World Cup qualifier,False,1,84.0,0.2,0,0.2,0.1515298688683828,0.06216610004856726,4.0,1506.0,1229.0,277.0,,,0.2,,,,
2009-03-28,Albania,Hungary,0,1,-1,-1,World Cup qualifier,False,0,45.0,0.2,0,0.2,0.09896907216494852,0.04060269627279937,4.0,1506.0,1604.0,-98.0,,0.0,0.2,,,,
2009-04-01,Albania,Denmark,0,3,-3,-1,World Cup qualifier,False,0,4.0,-0.6,0,0.0,0.06509832559595227,-0.3155286630848677,4.0,1506.0,1818.0,-312.0,,0.0,0.0,,,,
2009-06-06,Albania,Portugal,1,2,-1,-1,World Cup qualifier,False,0,66.0,-0.8,0,0.0,0.043015941404567035,-1.226143903489875,4.0,1506.0,1827.0,-321.0,1568.8,0.0,0.0,1.3038404810405297,0.0,-0.3266523050409306,-1.3778026712623868
2009-06-10,Albania,Georgia,1,1,0,0,Friendly,False,1,4.0,-1.0,0,0.0,0.028509586005631127,-1.1498809245055652,1.0,1506.0,1517.0,-11.0,1568.8,0.0,0.0,1.2247448713915892,0.0,-0.20607688015978248,-1.2461215260093246
2009-08-12,Albania,Cyprus,6,1,5,1,Friendly,False,2,63.0,-1.0,1,0.0,0.01893257734500187,-0.7636101603314718,1.0,1506.0,1525.0,-19.0,1599.0,1.0,0.0,1.2247448713915892,0.0,-0.13259729152338093,-0.825776260380039
2009-09-09,Albania,Denmark,1,1,0,0,World Cup qualifier,False,1,28.0,0.0,0,0.2,0.3476440470553819,1.167515797875459,4.0,1506.0,1818.0,-312.0,1658.2,0.0,0.2,3.0,0.4472135954999579,0.24867497489043336,1.1269131016026595
2009-10-14,Albania,Sweden,1,4,-3,-1,World Cup qualifier,False,0,35.0,0.2,0,0.2,0.23136438351566166,0.7770061794765015,4.0,1506.0,1796.0,-290.0,1701.0,0.0,0.2,2.949576240750525,0.4472135954999579,0.1662660579197094,1.0925348425613692
2009-11-14,Albania,Estonia,0,0,0,0,Friendly,False,1,31.0,0.2,0,0.2,0.1540664001655754,-0.48487759164674193,1.0,1506.0,1399.0,107.0,1696.6,,0.2,2.949576240750525,0.4472135954999579,0.11105045876100837,0.741266311843133
2010-03-03,Albania,Northern Ireland,1,0,1,1,Friendly,False,2,109.0,0.6,1,0.4,0.4020589913310838,0.11844452884332005,1.0,1506.0,1565.0,-59.0,1611.0,1.0,0.25,2.8809720581775866,0.4472135954999579,0.37354940532545267,1.2683254533488852
2010-05-25,Albania,Montenegro,1,0,1,1,Friendly,False,2,83.0,-0.2,1,0.4,0.6015076157017873,0.4124953189372684,1.0,1506.0,1666.0,-160.0,1620.6,1.0,0.5,2.8809720581775866,0.5477225575051661,0.5825750383567855,1.1761054792687402
2010-06-02,Albania,Andorra,1,0,1,1,Friendly,False,2,8.0,0.0,1,0.6,0.734398356549455,0.6084185922399579,1.0,1506.0,1049.0,457.0,1648.8,,0.5,1.6431676725154984,0.5477225575051661,0.3867543094940731,-0.559097205635501
2010-08-11,Albania,Uzbekistan,1,0,1,1,Friendly,False,2,70.0,0.8,1,0.8,0.8229588703842754,0.738984993218756,1.0,1506.0,1555.0,-49.0,1495.0,1.0,0.6666666666666666,1.7320508075688772,0.5477225575051661,0.5915944868686137,-0.03802118625774553
2010-09-03,Albania,Romania,1,1,0,0,European Championship qual,False,1,23.0,1.0,0,1.0,0.8819844140379425,0.8260074422421502,3.0,1506.0,1908.0,-402.0,1446.8,0.0,1.0,0.4472135954999579,0.4472135954999579,0.7279180138723671,1.310885033888892
2010-09-07,Albania,Luxembourg,1,0,1,1,European Championship qual,False,2,4.0,0.8,1,0.8,0.5879503095887738,0.5506348226330572,3.0,1506.0,1088.0,418.0,1548.6,,0.75,0.4472135954999579,0.4472135954999579,0.18589131825769,0.43219029378973717
2010-10-08,Albania,Bosnia and Herzegovina,1,1,0,0,European Championship qual,False,1,31.0,0.8,0,0.8,0.7253124460165746,0.7004365631410492,3.0,1544.0,1612.0,-68.0,1453.2,0.0,0.6666666666666666,0.4472135954999579,0.4472135954999579,0.12380483031478728,0.2879412442037808
2010-10-12,Albania,Belarus,0,2,-2,-1,European Championship qual,False,0,4.0,0.6,0,0.6,0.4835272678663407,0.4669438385475351,3.0,1544.0,1632.0,-88.0,1442.4,0.0,0.3333333333333333,0.5477225575051661,0.5477225575051661,-0.25087108868311425,-0.1414747536924228
2010-11-17,Albania,Macedonia,0,0,0,0,Friendly,False,1,36.0,0.0,0,0.4,0.3223451287551826,-0.3554033409999429,1.0,1544.0,1581.0,-37.0,1559.0,0.0,0.25,1.224744871391589,0.5477225575051661,-0.5006137416290928,-1.0943883342186989
2011-02-09,Albania,Slovenia,1,2,-1,-1,Friendly,False,0,84.0,-0.2,0,0.2,0.21489391563898835,-0.23693243286657986,1.0,1519.0,1700.0,-181.0,1564.2,0.0,0.0,1.0954451150103321,0.4472135954999579,-0.6670904983989541,-1.06293987510873
2011-03-26,Albania,Belarus,1,0,1,1,European Championship qual,False,2,45.0,-0.4,1,0.2,0.14326134962508058,-0.49129276556014845,3.0,1541.0,1636.0,-95.0,1522.6,1.0,0.0,1.140175425099138,0.4472135954999579,-0.44468895996369323,-1.0419275881932055
