competition_id,match_id,date,home_team,away_team,home_score,away_score,team_1,team_2,score_1,score_2,team,opponent,goals_for,goals_against,tournament
43,3857256,2022-12-02,Serbia,Switzerland,2,3,Serbia,Switzerland,2,3,Serbia,Switzerland,2,3,World Cup
43,3869151,2022-12-03,Argentina,Australia,2,1,Argentina,Australia,1,2,Australia,Argentina,1,2,World Cup
43,3857257,2022-11-30,Australia,Denmark,1,0,Australia,Denmark,0,1,Denmark,Australia,0,1,World Cup
43,3857258,2022-11-24,Brazil,Serbia,2,0,Brazil,Serbia,0,2,Brazil,Serbia,2,0,World Cup
43,3857288,2022-11-26,Tunisia,Australia,0,1,Australia,Tunisia,0,1,Australia,Tunisia,1,0,World Cup
43,3857267,2022-11-29,Ecuador,Senegal,1,2,Ecuador,Senegal,1,2,Senegal,Ecuador,2,1,World Cup
43,3869321,2022-12-09,Netherlands,Argentina,2,2,Argentina,Netherlands,2,2,Netherlands,Argentina,2,2,World Cup
43,3869486,2022-12-10,Morocco,Portugal,1,0,Morocco,Portugal,0,1,Morocco,Portugal,1,0,World Cup
43,3869685,2022-12-18,Argentina,France,3,3,Argentina,France,3,3,Argentina,France,3,3,World Cup
43,3857264,2022-11-30,Poland,Argentina,0,2,Argentina,Poland,0,2,Poland,Argentina,0,2,World Cup
43,3857266,2022-11-26,France,Denmark,2,1,Denmark,France,1,2,Denmark,France,1,2,World Cup
43,3857289,2022-11-26,Argentina,Mexico,2,0,Argentina,Mexico,0,2,Argentina,Mexico,2,0,World Cup
43,3857269,2022-11-28,Brazil,Switzerland,1,0,Brazil,Switzerland,0,1,Switzerland,Brazil,0,1,World Cup
43,3869254,2022-12-06,Portugal,Switzerland,6,1,Portugal,Switzerland,1,6,Portugal,Switzerland,6,1,World Cup
43,3869118,2022-12-04,England,Senegal,3,0,England,Senegal,0,3,Senegal,England,0,3,World Cup
43,3869684,2022-12-17,Croatia,Morocco,2,1,Croatia,Morocco,1,2,Morocco,Croatia,1,2,World Cup
43,3869519,2022-12-13,Argentina,Croatia,3,0,Argentina,Croatia,0,3,Croatia,Argentina,0,3,World Cup
43,3869354,2022-12-10,England,France,1,2,England,France,1,2,France,England,2,1,World Cup
43,3869552,2022-12-14,France,Morocco,2,0,France,Morocco,0,2,Morocco,France,0,2,World Cup
43,3869420,2022-12-09,Croatia,Brazil,1,1,Brazil,Croatia,1,1,Brazil,Croatia,1,1,World Cup
43,3869220,2022-12-06,Morocco,Spain,0,0,Morocco,Spain,0,0,Spain,Morocco,0,0,World Cup
43,3869219,2022-12-05,Japan,Croatia,1,1,Croatia,Japan,1,1,Croatia,Japan,1,1,World Cup
43,3869152,2022-12-04,France,Poland,3,1,France,Poland,1,3,Poland,France,1,3,World Cup
43,3857270,2022-11-28,Portugal,Uruguay,2,0,Portugal,Uruguay,0,2,Portugal,Uruguay,2,0,World Cup
43,3857263,2022-11-27,Spain,Germany,1,1,Germany,Spain,1,1,Spain,Germany,1,1,World Cup
43,3857259,2022-11-28,Cameroon,Serbia,3,3,Cameroon,Serbia,3,3,Serbia,Cameroon,3,3,World Cup
43,3857283,2022-11-27,Belgium,Morocco,0,2,Belgium,Morocco,0,2,Belgium,Morocco,0,2,World Cup
43,3857284,2022-11-23,Germany,Japan,1,2,Germany,Japan,1,2,Germany,Japan,1,2,World Cup
43,3857296,2022-12-01,Croatia,Belgium,0,0,Belgium,Croatia,0,0,Belgium,Croatia,0,0,World Cup
43,3857290,2022-11-24,Switzerland,Cameroon,1,0,Cameroon,Switzerland,0,1,Cameroon,Switzerland,0,1,World Cup
43,3857285,2022-11-21,Senegal,Netherlands,0,2,Netherlands,Senegal,0,2,Netherlands,Senegal,2,0,World Cup
43,3857281,2022-11-27,Croatia,Canada,4,1,Canada,Croatia,1,4,Canada,Croatia,1,4,World Cup
43,3857280,2022-12-02,Cameroon,Brazil,1,0,Brazil,Cameroon,0,1,Cameroon,Brazil,1,0,World Cup
