tournament,subset,model,log_loss,brier,accuracy,rps,dataset
2018 World Cup,All Matches,GlobalGHMM,0.9673,0.5728,0.5517,0.2021,2002-extended
2018 World Cup,All Matches,GlobalGHMM+Draw,0.9659,0.5718,0.5517,0.2019,2002-extended
2018 World Cup,All Matches,XGBoost,1.085,0.6562,0.4828,0.242,2002-extended
2018 World Cup,All Matches,Random Forest,1.1345,0.6754,0.4483,0.2522,2002-extended
2018 World Cup,All Matches,Elo,0.9548,0.5623,0.5862,0.1993,2002-extended
2018 World Cup,All Matches,Uniform,1.0986,0.6667,0.3793,0.2433,2002-extended
2018 World Cup,W/L Only,GlobalGHMM,0.8735,0.4982,0.6957,0.213,2002-extended
2018 World Cup,W/L Only,GlobalGHMM+Draw,0.8716,0.4969,0.6957,0.2127,2002-extended
2018 World Cup,W/L Only,XGBoost,0.9763,0.581,0.6087,0.26,2002-extended
2018 World Cup,W/L Only,Random Forest,1.0579,0.6214,0.5435,0.2763,2002-extended
2018 World Cup,W/L Only,Elo,0.8572,0.4856,0.7391,0.2101,2002-extended
2018 World Cup,W/L Only,Uniform,1.0986,0.6667,0.4783,0.2778,2002-extended
2022 World Cup,All Matches,GlobalGHMM,1.0352,0.6018,0.5667,0.2091,2002-extended
2022 World Cup,All Matches,GlobalGHMM+Draw,1.0356,0.6019,0.5667,0.2091,2002-extended
2022 World Cup,All Matches,XGBoost,1.0625,0.645,0.45,0.2302,2002-extended
2022 World Cup,All Matches,Random Forest,1.0884,0.6661,0.4,0.2439,2002-extended
2022 World Cup,All Matches,Elo,1.0577,0.6102,0.5167,0.2155,2002-extended
2022 World Cup,All Matches,Uniform,1.0986,0.6667,0.3,0.2361,2002-extended
2022 World Cup,W/L Only,GlobalGHMM,0.9437,0.5213,0.7556,0.227,2002-extended
2022 World Cup,W/L Only,GlobalGHMM+Draw,0.9419,0.5199,0.7556,0.2266,2002-extended
2022 World Cup,W/L Only,XGBoost,0.9431,0.5588,0.6,0.252,2002-extended
2022 World Cup,W/L Only,Random Forest,0.9884,0.5983,0.4889,0.2713,2002-extended
2022 World Cup,W/L Only,Elo,0.9645,0.5245,0.6889,0.2333,2002-extended
2022 World Cup,W/L Only,Uniform,1.0986,0.6667,0.4,0.2778,2002-extended
UEFA Euro 2024,All Matches,GlobalGHMM,0.9979,0.5942,0.5,0.193,2002-extended
UEFA Euro 2024,All Matches,GlobalGHMM+Draw,0.9988,0.5949,0.5,0.1932,2002-extended
UEFA Euro 2024,All Matches,XGBoost,1.0884,0.6603,0.4091,0.2256,2002-extended
UEFA Euro 2024,All Matches,Random Forest,1.1342,0.6956,0.4091,0.241,2002-extended
UEFA Euro 2024,All Matches,Elo,0.9398,0.5579,0.5455,0.1741,2002-extended
UEFA Euro 2024,All Matches,Uniform,1.0986,0.6667,0.2955,0.2266,2002-extended
UEFA Euro 2024,W/L Only,GlobalGHMM,0.8688,0.4861,0.7213,0.2088,2002-extended
UEFA Euro 2024,W/L Only,GlobalGHMM+Draw,0.8681,0.4859,0.7213,0.2089,2002-extended
UEFA Euro 2024,W/L Only,XGBoost,0.9755,0.5764,0.5902,0.2579,2002-extended
UEFA Euro 2024,W/L Only,Random Forest,1.0214,0.6188,0.5246,0.2769,2002-extended
UEFA Euro 2024,W/L Only,Elo,0.7559,0.413,0.7869,0.1767,2002-extended
UEFA Euro 2024,W/L Only,Uniform,1.0986,0.6667,0.4262,0.2778,2002-extended
Copa América 2024,All Matches,GlobalGHMM,1.0248,0.6162,0.4789,0.1926,2002-extended
Copa América 2024,All Matches,GlobalGHMM+Draw,1.0246,0.6163,0.4789,0.1927,2002-extended
Copa América 2024,All Matches,XGBoost,1.0893,0.6604,0.3944,0.2157,2002-extended
Copa América 2024,All Matches,Random Forest,1.125,0.6848,0.4366,0.2226,2002-extended
Copa América 2024,All Matches,Elo,0.9568,0.5741,0.507,0.1711,2002-extended
Copa América 2024,All Matches,Uniform,1.0986,0.6667,0.2535,0.2191,2002-extended
Copa América 2024,W/L Only,GlobalGHMM,0.8773,0.4931,0.7391,0.2113,2002-extended
Copa América 2024,W/L Only,GlobalGHMM+Draw,0.876,0.4927,0.7391,0.2113,2002-extended
Copa América 2024,W/L Only,XGBoost,0.9544,0.5592,0.6087,0.2503,2002-extended
Copa América 2024,W/L Only,Random Forest,0.9507,0.5656,0.6087,0.253,2002-extended
Copa América 2024,W/L Only,Elo,0.7414,0.4075,0.7826,0.1735,2002-extended
Copa América 2024,W/L Only,Uniform,1.0986,0.6667,0.3913,0.2778,2002-extended
